,disc_year,releasedate,pl_name,hostname,discoverymethod,disc_facility,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_insol,pl_eqt,pl_controv_flag,pl_bmasse,soltype,gravity_multiple_of_earths_gravity
15188,2021-01-01,2021-12-05,Kepler-1714 b,Kepler-1714,Transit,Kepler,1,1,10.27530003,,3.264,,,0,,Published Confirmed,
15195,2021-01-01,2021-12-05,Kepler-1715 b,Kepler-1715,Transit,Kepler,1,1,35.59730148,,4.14,,,0,,Published Confirmed,
15207,2021-01-01,2021-12-05,Kepler-1716 b,Kepler-1716,Transit,Kepler,1,1,35.58100128,,2.425,,,0,,Published Confirmed,
15215,2021-01-01,2021-12-05,Kepler-1717 b,Kepler-1717,Transit,Kepler,1,1,30.65279961,,2.989,,,0,,Published Confirmed,
15218,2021-01-01,2021-12-05,Kepler-1718 b,Kepler-1718,Transit,Kepler,1,1,135.1880035,,2.569,,,0,,Published Confirmed,
15226,2021-01-01,2021-12-05,Kepler-1719 b,Kepler-1719,Transit,Kepler,1,1,6.14955997,,3.95,,,0,,Published Confirmed,
15236,2014-01-01,2014-05-14,Kepler-172 b,Kepler-172,Transit,Kepler,1,4,2.940309,0.04,2.35,,,0,,Published Confirmed,
15247,2014-01-01,2014-05-14,Kepler-172 c,Kepler-172,Transit,Kepler,1,4,6.388996,0.068,2.86,,,0,,Published Confirmed,
15264,2014-01-01,2014-05-14,Kepler-172 d,Kepler-172,Transit,Kepler,1,4,14.627119,0.118,2.25,,,0,,Published Confirmed,
15271,2014-01-01,2014-05-14,Kepler-172 e,Kepler-172,Transit,Kepler,1,4,35.118736,0.211,2.76,,,0,,Published Confirmed,
15276,2021-01-01,2021-12-05,Kepler-1720 b,Kepler-1720,Transit,Kepler,1,1,12.70639992,,3.216,,,0,,Published Confirmed,
15285,2021-01-01,2021-12-05,Kepler-1721 b,Kepler-1721,Transit,Kepler,1,1,4.59238005,,3.119,,,0,,Published Confirmed,
15293,2021-01-01,2021-12-05,Kepler-1722 b,Kepler-1722,Transit,Kepler,1,1,9.17856979,,2.867,,,0,,Published Confirmed,
15300,2021-01-01,2021-12-05,Kepler-1723 b,Kepler-1723,Transit,Kepler,1,1,39.75289917,,2.88,,,0,,Published Confirmed,
15309,2021-01-01,2021-12-05,Kepler-1724 b,Kepler-1724,Transit,Kepler,1,1,6.45442009,,2.837,,,0,,Published Confirmed,
15315,2021-01-01,2021-12-05,Kepler-1725 b,Kepler-1725,Transit,Kepler,1,1,16.71990013,,2.813,,,0,,Published Confirmed,
15326,2021-01-01,2021-12-05,Kepler-1726 b,Kepler-1726,Transit,Kepler,1,1,18.39629936,,2.509,,,0,,Published Confirmed,
15331,2021-01-01,2021-12-05,Kepler-1727 b,Kepler-1727,Transit,Kepler,1,1,9.02929974,,3.173,,,0,,Published Confirmed,
15344,2021-01-01,2021-12-05,Kepler-1728 b,Kepler-1728,Transit,Kepler,1,1,4.78299999,,2.955,,,0,,Published Confirmed,
15351,2021-01-01,2021-12-05,Kepler-1729 b,Kepler-1729,Transit,Kepler,1,1,4.22097015,,3.894,,,0,,Published Confirmed,
15357,2014-01-01,2014-05-14,Kepler-173 b,Kepler-173,Transit,Kepler,1,2,4.263742,0.048,1.29,,,0,,Published Confirmed,
15366,2014-01-01,2014-05-14,Kepler-173 c,Kepler-173,Transit,Kepler,1,2,8.005777,0.074,2.43,,,0,,Published Confirmed,
15378,2021-01-01,2021-12-05,Kepler-1730 b,Kepler-1730,Transit,Kepler,1,1,13.81019974,,4.485,,,0,,Published Confirmed,
15386,2021-01-01,2021-12-05,Kepler-1731 b,Kepler-1731,Transit,Kepler,1,1,21.76129913,,2.933,,,0,,Published Confirmed,
15398,2021-01-01,2021-12-05,Kepler-1732 b,Kepler-1732,Transit,Kepler,1,1,32.31240082,,4.099,,,0,,Published Confirmed,
15400,2021-01-01,2021-12-05,Kepler-1733 b,Kepler-1733,Transit,Kepler,1,1,9.22957993,,3.636,,,0,,Published Confirmed,
15409,2021-01-01,2021-12-05,Kepler-1734 b,Kepler-1734,Transit,Kepler,1,1,6.7968502,,3.089,,,0,,Published Confirmed,
15416,2021-01-01,2021-12-05,Kepler-1735 b,Kepler-1735,Transit,Kepler,1,1,7.71792984,,1.194,,,0,,Published Confirmed,
15423,2021-01-01,2021-12-05,Kepler-1736 b,Kepler-1736,Transit,Kepler,1,1,37.81029892,,3.877,,,0,,Published Confirmed,
15433,2021-01-01,2021-12-05,Kepler-1737 b,Kepler-1737,Transit,Kepler,1,1,64.61750031,,5.395,,,0,,Published Confirmed,
15443,2021-01-01,2021-12-05,Kepler-1738 b,Kepler-1738,Transit,Kepler,1,1,7.67463016,,2.825,,,0,,Published Confirmed,
15450,2021-01-01,2021-12-05,Kepler-1739 b,Kepler-1739,Transit,Kepler,1,1,7.34370995,,2.431,,,0,,Published Confirmed,
15453,2014-01-01,2014-05-14,Kepler-174 b,Kepler-174,Transit,Kepler,1,3,13.98179,0.1,1.96,,,0,,Published Confirmed,
15466,2014-01-01,2014-05-14,Kepler-174 c,Kepler-174,Transit,Kepler,1,3,44.000529,0.214,1.49,,,0,,Published Confirmed,
15480,2014-01-01,2014-05-14,Kepler-174 d,Kepler-174,Transit,Kepler,1,3,247.35373,0.677,2.19,,,0,,Published Confirmed,
15493,2021-01-01,2021-12-05,Kepler-1740 b,Kepler-1740,Transit,Kepler,1,1,8.17240047,,3.323,,,0,,Published Confirmed,
15499,2021-01-01,2021-12-05,Kepler-1741 b,Kepler-1741,Transit,Kepler,1,1,2.75759006,,1.273,,,0,,Published Confirmed,
